ID	adj.P.Val	P.Value	t	B	logFC	ORF	SPOT_ID
LOC647891	0.458	0.0000133	5.197176	2.7709	0.10620194	LOC647891	
PIGN	0.536	0.0000382	-4.822747	1.9146	-0.24168982	PIGN	
E2F1	0.536	0.000053	4.706498	1.648	0.28903446	E2F1	
STARD9	0.536	0.0000707	4.604094	1.4132	0.1008622	STARD9	
GCN1L1	0.536	0.0001043	4.465515	1.0956	0.29568615	GCN1L1	
NRP1	0.536	0.0001282	-4.391866	0.9271	-0.14924794	NRP1	
DPP8	0.536	0.0001469	-4.343136	0.8157	-0.18426247	DPP8	
PPARG	0.536	0.0002263	-4.188032	0.4621	-0.08304762	PPARG	
FOXJ3	0.536	0.0002265	4.187694	0.4613	0.24634836	FOXJ3	
LOC284890	0.536	0.0002633	-4.13342	0.338	-0.13263018	LOC284890	
ZNF35	0.536	0.0003226	-4.059922	0.1713	-0.21942782	ZNF35	
TCERG1	0.536	0.0003339	4.047411	0.143	0.13893841	TCERG1	
LOC402066	0.536	0.0003491	-4.031225	0.1064	-0.09579987	LOC402066	
C11ORF10	0.536	0.0003507	-4.029631	0.1028	-0.16844885	C11ORF10	
HS.563980	0.536	0.0003625	-4.017546	0.0755	-0.10736737	HS.563980	
NEU1	0.536	0.0003704	-4.009718	0.0578	-0.43903617	NEU1	
FAM25C	0.536	0.0003726	-4.007646	0.0531	-0.08939696	FAM25C	
TK2	0.536	0.0004103	-3.972573	-0.026	-0.293381	TK2	
STX8	0.536	0.0004432	-3.944449	-0.0894	-0.19933399	STX8	
LOC100129021	0.536	0.0004765	3.918041	-0.1488	0.0988762	LOC100129021	
MTFR1	0.536	0.0004792	-3.915919	-0.1535	-0.21511885	MTFR1	
LOC400506	0.536	0.0004984	-3.901613	-0.1857	-0.28085887	LOC400506	
LOC651101	0.536	0.0005198	-3.886241	-0.2202	-0.09351052	LOC651101	
HS.400131	0.536	0.0005368	3.874408	-0.2467	0.26435929	HS.400131	
CDKN2B	0.536	0.0006252	-3.818503	-0.3719	-0.098822	CDKN2B	
HS.577758	0.536	0.0007022	3.775787	-0.4672	0.10603104	HS.577758	
LOC100130958	0.536	0.0007084	3.772573	-0.4744	0.07787136	LOC100130958	
ZNF541	0.536	0.0007593	3.746939	-0.5315	0.12983912	ZNF541	
LOC441126	0.536	0.0007652	-3.744114	-0.5377	-0.10860972	LOC441126	
ARID3C	0.536	0.0007846	3.734853	-0.5583	0.10052523	ARID3C	
MAOB	0.536	0.0007875	-3.733502	-0.5613	-0.10739891	MAOB	
LOC644841	0.536	0.0008313	3.713484	-0.6058	0.07267114	LOC644841	
CR1	0.536	0.0008452	-3.707319	-0.6194	-0.17445946	CR1	
NDUFC2	0.536	0.0008546	-3.703257	-0.6285	-0.13530535	NDUFC2	
MIR1250	0.536	0.00088	3.692393	-0.6525	0.08904179	MIR1250	
